code word doc_freq count
3680 site 2 2
3681 situate 2 2
3682 situation 2 2
3685 sixth 2 2
3708 smith 2 2
3730 songwriter 2 2
3737 sound 2 2
3741 southern 2 2
3744 soviet 2 2
3748 span 2 2
3750 spark 2 2
3758 species 2 2
3819 status 2 2
3840 storage 2 2
3842 story 2 2
3849 strengthen 2 2
3861 studio 2 2
3881 successful 2 2
3883 successor 2 2
3885 sudan 2 2
3927 survey 2 2
3930 susie 2 2
3950 szabo 2 2
3960 takai 2 2
3970 target 2 2
3976 teacher 2 2
4004 terrestrial 2 2
4016 thank 2 2
4025 themselves 2 2
4027 theologian 2 2
4031 thesis 2 2
4039 thomas 2 2
4080 torpedo 2 2
4082 torture 2 2
4094 towards 2 2
4101 trading 2 2
4127 tribe 2 2
4145 turkey 2 2
4153 twice 2 2
4156 tyler 2 2
4158 typically 2 2
4169 umaru 2 2
4170 un 2 2
4175 uncle 2 2
4205 unusual 2 2
4208 upon 2 2
4213 us 2 2
4251 venture 2 2
4265 vicinity 2 2
4269 victory 2 2
4278 villa 2 2
4311 want 2 2
4358 whom 2 2
4394 word 2 2
4405 writing 2 2
4432 zero 2 2
2696 nascar 1 46
3391 restrictor 1 45
2271 laguna 1 28
2285 larga 1 28
1007 daytona 1 21
3962 talladega 1 19
2284 lap 1 16
1097 dieuzayde 1 15
1698 gore 1 15
2316 lebanon 1 15
2337 leuhusen 1 15
4425 yugoslavia 1 15
3252 racing 1 14
1966 inch 1 13
2315 lebanese 1 13
2801 nsk 1 13
493 bordeaux 1 11
616 carburetor 1 11
1743 grunder 1 11
3917 superspeedway 1 11
4229 valdez 1 11
936 crash 1 10
1413 exxon 1 10
1881 horsepower 1 10
2879 oregon 1 10
3746 spacer 1 10
3766 speedway 1 10
4424 yugoslav 1 10
625 carnival 1 9
